measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
2024-01-23 08:31:42.010270,427
2024-01-23 08:32:27.003215,430
measure_time,block_height
2024-01-23 08:32:57.885582,432
2024-01-23 08:33:27.973097,434
2024-01-23 08:33:57.014115,436
2024-01-23 08:34:27.937435,438
2024-01-23 08:34:57.622981,440
2024-01-23 08:35:27.007346,442
2024-01-23 08:36:12.011859,445
2024-01-23 08:36:57.003443,448
2024-01-23 08:37:42.013199,451
2024-01-23 08:38:27.002858,454
2024-01-23 08:39:12.012089,457
2024-01-23 08:39:57.012650,460
2024-01-23 08:40:42.007586,463
2024-01-23 08:41:27.012222,466
2024-01-23 08:42:12.012840,469
2024-01-23 08:42:57.008208,472
2024-01-23 08:43:27.020300,474
2024-01-23 08:43:42.012088,475
2024-01-23 08:44:27.007654,478
2024-01-23 08:45:12.003308,481
2024-01-23 08:45:57.003307,484
2024-01-23 08:46:42.012696,487
2024-01-23 08:47:27.011725,490
2024-01-23 08:48:12.012463,493
2024-01-23 08:48:57.007410,496
2024-01-23 08:49:42.008279,499
2024-01-23 08:50:27.007021,502
2024-01-23 08:51:12.003570,505
2024-01-23 08:51:57.013879,508
2024-01-23 08:52:42.012741,511
2024-01-23 08:53:27.007316,514
2024-01-23 08:54:12.012833,517
2024-01-23 08:54:57.013552,520
2024-01-23 08:55:42.007597,523
2024-01-23 08:56:27.013092,526
2024-01-23 08:57:12.003940,529
2024-01-23 08:57:57.007921,532
2024-01-23 08:58:42.004493,535
2024-01-23 08:59:27.002760,538
2024-01-23 09:00:12.003567,541
2024-01-23 09:00:57.010963,544
2024-01-23 09:01:42.012772,547
2024-01-23 09:02:27.003170,550
2024-01-23 09:03:12.013395,553
2024-01-23 09:03:57.012801,556
2024-01-23 09:04:42.007639,559
2024-01-23 09:05:27.003049,562
2024-01-23 09:06:12.013932,565
2024-01-23 09:06:57.013167,568
2024-01-23 09:07:42.015987,571
2024-01-23 09:08:27.003985,574
2024-01-23 09:09:12.003423,577
2024-01-23 09:09:57.009094,580
2024-01-23 09:10:42.003743,583
2024-01-23 09:11:27.013869,586
2024-01-23 09:12:12.003534,589
2024-01-23 09:12:57.007966,592
2024-01-23 09:13:42.013625,595
2024-01-23 09:14:27.007365,598
2024-01-23 09:15:12.013916,601
2024-01-23 09:15:57.003165,604
2024-01-23 09:16:42.015646,607
2024-01-23 09:17:27.015467,610
2024-01-23 09:18:12.007717,613
2024-01-23 09:18:57.008400,616
2024-01-23 09:19:42.006177,619
2024-01-23 09:20:27.015255,622
2024-01-23 09:21:12.014118,625
2024-01-23 09:21:57.013754,628
2024-01-23 09:22:42.004067,631
2024-01-23 09:23:27.007815,634
2024-01-23 09:24:12.003856,637
2024-01-23 09:24:57.008265,640
