block_hash,validationPeriod
0xeff3520b0062a38b34891329d9e6bab8b0cbc079a2d44907272d6ce5175dddb1,0 days 00:00:00.000141
0x53afcbdb2f35c31d97d6862ad67a319c492bcf935a49fa449ee3d34326f85292,0 days 00:00:00.000195
0xd307c55d5912b75b5b2086b90b8fa3c1a9b1b741f65f005e8bf051831be3e7f6,0 days 00:00:00.000173
0xce2aa799cfd485b1081074dbc97ad104c12847da554eeac595ceedbe3cd2dbb5,0 days 00:00:00.000162
0x092552465c6f4fd3938d8939e635b3f8d615f44048a3432464fbba251a7fd3dd,0 days 00:00:00.000190
0xe2ea0078e2a9668f1f8b5414d68eed699889d6a088e14175326ad45bf726c305,0 days 00:00:00.000144
0xf68f29c88fe0316bd7e8a3e80a59af95156b58add2882a2f40e22a14ba4525a5,0 days 00:00:00.000145
0x23adde1cfa57833e5398ebb8c1904beedadc7fbc2e593314246cb83a626bf88e,0 days 00:00:00.000146
0x404e5ffb8020f236ed1ba2ac60eb3e8ab5a660b360d4ab2928bc5144015d7c1b,0 days 00:00:00.000140
0x2052eec6bf27fffb7bd002b024e25abc0db289096b2aa04f4967bfc0bf9e4fd3,0 days 00:00:00.000177
0x6ed8b8a4e74ff365de6c0a0610582bc371e85be8ed8653f7c8630843dc62f91f,0 days 00:00:00.000133
0xa72e3384d1a034e9b2ca42f0e62b131f626bfe10ea766a4317655b374adb15ea,0 days 00:00:00.000149
0x593a267ab411a49ea88f103fa4e5e2c0580465bc3a96afdaa369ca0a41db1d91,0 days 00:00:00.000188
0x59e2a4e6efeb522c54d6b76d6d6c376d1aea23de9b07ab1afefe99119266401a,0 days 00:00:00.000031
0x2fb96eab22b00adc1b235882b0be06f143f4424289ebcc674d5c5ea3347c03c9,0 days 00:00:00.000142
0xd183db8c93c1c223dbb352f026587b1a4c69f8274a61a6e7ef9c8717caaa3d4e,0 days 00:00:00.000141
0x8d13e73099f380873c8668fe491484fb01ab0b4d20095742317abc6f48217395,0 days 00:00:00.000147
0x20fc2d12648459a6b3f27653d9a53cc0fc5dc398ea099aaf349dad38e8cba5c3,0 days 00:00:00.000144
0xa645531b230dd354db0bb9c75ef6bbfb6999c574dca73add69316402ad53e48f,0 days 00:00:00.000134
0xd5dc072b9c4001632f721e69f76b1885a9b02fcf8e36523492d512e8ccf9a568,0 days 00:00:00.000163
0xd83ba7fc80a8c8fff6c9318c1f03957bbcb1326f756fcc6389d7b155ba5e3d4a,0 days 00:00:00.000148
0xff3d96aeadb995f19fabfe85c87e5a15668ebc38d16df0d82cdf2ab7d8c8bd09,0 days 00:00:00.000185
0x52aeb4112716b8a4baed9b184e3e80e29d7d16719d5c74fe6dfae17c9770d78b,0 days 00:00:00.000177
0x0f9d2985237fb910ea44c1e288c907310a5dc36247c0f3c38b1405b5b0bf6834,0 days 00:00:00.000145
0x6bfece624505202125a69bd214ab874399c0ba7153512389e56498583c704fa8,0 days 00:00:00.000084
0x488932524d86eb4c5f4f185f82372e89fd5d0fc4269d4465c55bb7ebfc9d02c3,0 days 00:00:00.000190
0x1399bd881ce3011d7743eefea0d12523fe744333d75214407f94a377a647031a,0 days 00:00:00.000158
0xf638c60e7ece43816820e291afa51a7cb4a797eb31e0ccc6cc435974d9ec387d,0 days 00:00:00.000031
0x4e96262d08add02afc64c567c761bdd6ddda40a5f3c47bef5b17126516f5f453,0 days 00:00:00.000148
0xfee71d327ddcaa9c27c84a198cfe9e9b9df5e8d6f98b3c71985d63200d9296da,0 days 00:00:00.000140
0x65f1a9b832a504669229fff37c7489174727e6f04058869c0126263d7bdc550f,0 days 00:00:00.000137
0xd6d11f380ae3f48a9db7794e83bb9211a0ac04959f182039b76f755d5af538ac,0 days 00:00:00.000158
0x372e69b41ff54690b708dbf03810ae73717ce51b540ebd72aa930ea02427a41b,0 days 00:00:00.000165
0xa5e618ac471458d6de5a90b0b75f9aaeec0a409dd950d38c1174bb70f346d34c,0 days 00:00:00.000142
0x0d6ea12ac147f9ed434389573ec9243b5f74adc665fa5adf8413bc438d3de184,0 days 00:00:00.000159
0xdfa525c0c247667dc93b401ee75ec6c875862e6999372724e419eb7615df473d,0 days 00:00:00.000142
0xa50435c97dd7cfdacd33accef7e91ec44a87f8e18940abe9085eb8d4753ed9bf,0 days 00:00:00.000142
0x3d9152b006c5e769cb422525d1b88559e7f01e7a367288ad8b9a465eacc39881,0 days 00:00:00.000026
0xa3ec1eda4b6a7048502105f24535c339be6060d85976ff36906068027c9b21f3,0 days 00:00:00.000026
0xf2167313e80cffd3434eeaeaf939d3b7f84a091ad68f4ca713f5c7f3d594cc82,0 days 00:00:00.000185
0x468865b352d990ac19cebdce116c49bed7c0dd1fd81203b76a0d134e691f9bbe,0 days 00:00:00.000030
0x03076064f9890d760f20fdbac6c7a5e0b0a6e6b6c324a45b608f527fb4be2d97,0 days 00:00:00.000027
0x8ae5d33f70305f54ed5ed1a5edb268070c7ba28e080a2c1740f96ed5db3f22cb,0 days 00:00:00.000143
0x0b63d562d825cde5864c889022176799a9a45f3fbbcab1543898a1c0e21df0b0,0 days 00:00:00.000132
0xd403740977e145c3c501f424513b9d2adb10b64481f44079468fc21357833eaf,0 days 00:00:00.000136
0xd0274ad79f2766f3b08452a3ed6366ed87daf0ebedd3956d43b3b2708e620c2e,0 days 00:00:00.000035
0xaa20ac9682536741b84651dfc8995b3c933cd832a8251f588c89ff2bb072cb84,0 days 00:00:00.000097
0xac52024493168eb5443550da4038cfc9aa8749db790ad594727fabbcae04d5c5,0 days 00:00:00.000182
0x978809b6f34c5c60dab0270b44133ff2ec69fa464855323da3a569b2b61fa584,0 days 00:00:00.000139
0x7934b494e63612efa57b2beaef0ecf2ed73d5f17917f3ed212176a67d63e1ee0,0 days 00:00:00.000151
0xd3f4b00d40b6a09158cdfa4cf703706b6beb611fc16caf29b48b52d417c8b414,0 days 00:00:00.000175
0xd643058750ed45e0ac001f8430f5c9c323569e3686fd273ff12887894d1e4158,0 days 00:00:00.000148
0xcacdd9a151825357fe354bf11e40e15ab4436df2e0ee05521277075b21a1480e,0 days 00:00:00.000160
0xdf6dfb6187f348ed13845ad4d18d98f3382075344612be58fd2bf706a286c358,0 days 00:00:00.000135
0x8209f4f7bf59879de8806a681d96759caa729f0d22580863a3e2bda6c4fd2a0a,0 days 00:00:00.000137
0x154d672b0e64f50165d178eb7647b7e4c779e956dd3dc7112251f885f6ca2560,0 days 00:00:00.000143
0x625d3df31d6ea9a31e5b738bb2512c752664485c6c5b7f6b92ed5c674ad15260,0 days 00:00:00.000197
0x325cc7fccd0a4d4ebc5811190e2f5ec35ab150d82a91ef9c0d4e4fab8c4b5271,0 days 00:00:00.000159
0x8fbe600adab89abdc9c3ca48a9c038e1f3641c87b8d04d9c2f36953d8e891326,0 days 00:00:00.000154
0x9ea598065e9d206eeb7ee3cc2ceac43da991aeb14f61b2130f813c57cf2da62a,0 days 00:00:00.000143
0x757c4e345bde2926e5167345bc63c1e0f7d24e26bfa52814f695e4ec750498f8,0 days 00:00:00.000195
0xfc6cda5da813ae2fe5fe2895ffec393ab9fc3720f91974c521660bf7fac3392d,0 days 00:00:00.000180
0xb6662370e8d923a305aa574d2f819a8cc97cbab0bdc2e478430c5f89d0c02b39,0 days 00:00:00.000133
0xe8c5a2348c685c03090625cc02e23bccc650216d1855e28661476522f692204c,0 days 00:00:00.000144
0x4fd3b7365f58f458de8f5a0779524fe40bebe137b042031d5a23de3912a1956c,0 days 00:00:00.000162
0x38d2131bcce34c4dfdb3e227b3d54fc9ea1dc1e2b521c9c85466264b10f0973a,0 days 00:00:00.000182
0x32c719af0e82ea2aafa9b4c7e25f9c3a1bebed2b959a5baadf0d3edc4e638cab,0 days 00:00:00.000140
0xedc75797ee528e645fbe112b983666e2b1a4d488b34dfc7857e2a45d9ac884c0,0 days 00:00:00.000154
0x69e002e124ad81c17c4cc7d7bf82b98e61bd8c4b3f02c4614f05c6eb192214b8,0 days 00:00:00.000029
0xbb16dbc304e2302bb3da1086707652938482c747474e3a0de6a2fcbc530a9d3a,0 days 00:00:00.000142
0x73bee9172c9152c270c827bfa1c823cb476307f05f0e24b9248c161c92d127ef,0 days 00:00:00.000159
